"id","condition","age","gender","country","feel_before","feel_after","trust_in_donation","notice","alone","comp_or_phone","willingness","amount_r","amount_n","willingness_n","eyes_n","emotion_n","alone_n","size_n","notice_n"
80,"Neutral",22,"Male","Denmark",7,9,1,"Yes","less than 5","Computer","No","donate less than 10 DKK",1,0,1,0,0,0,1
81,"Neutral",21,"Female","Denmark",10,10,5,"Yes","less than 5","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,0,0,1
82,"Neutral",26,"Female","Denmark",5,4,1,"Yes","less than 5","Computer","Yes","donate 10-30 DKK",2,1,1,0,0,0,1
83,"Neutral",32,"Female","Denmark",6,8,10,"Yes","less than 5","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,0,0,1,1
84,"Neutral",26,"Male","Denmark",3,3,7,"Yes","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,0,1
85,"Neutral",33,"Female","Denmark",8,8,5,"No","more than 5","Phone","Yes","donate 10-30 DKK",2,1,1,0,0,1,0
86,"Neutral",26,"Male","Denmark",7,7,2,"No","I'm alone","Computer","No","donate 10-30 DKK",2,0,1,0,1,0,0
87,"Neutral",24,"Female","Denmark",3,3,8,"Yes","I'm alone","Phone","Yes","donate 10-30 DKK",2,1,1,0,1,1,1
88,"Neutral",23,"Female","Denmark",7,8,8,"No","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,0,0
89,"Neutral",23,"Female","Denmark",7,7,6,"No","I'm alone","Computer","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,0,0
90,"Neutral",22,"Female","Denmark",7,7,9,"Yes","I'm alone","Phone","Yes","donate 100 DKK (donate all the money)",6,1,1,0,1,1,1
91,"Neutral",24,"Female","Denmark",8,8,8,"Yes","I'm alone","Computer","No","donate less than 10 DKK",1,0,1,0,1,0,1
92,"Neutral",22,"Female","Denmark",9,9,6,"Yes","I'm alone","Phone","Yes","donate 50-70 DKK",4,1,1,0,1,1,1
